錒	锕
鴗	𫁡
濿	𪵱
癘	疠
隸	隶
爄	𤇃
鎘	镉
嚦	呖
壢	坜
櫟	栎
瀝	沥
瓅	𬍛
礪	砺
藶	苈
麗	丽
櫪	枥
礫	砾
糲	粝
蠣	蛎
儷	俪
癧	疬
酈	郦
鷅	𫛽
躒	跞
轢	轹
欐	𪲔
轣	𫐆
靂	雳
倆	俩
帘	帘
連	连
嗹	𪡏
漣	涟
蓮	莲
奩	奁
槤	梿
憐	怜
褳	裢
縺	𦈐
聯	联
鎌	镰
簾	帘
鐮	镰
鰱	鲢
璉	琏
斂	敛
臉	脸
襝	裣
蘞	蔹
煉	炼
練	练
殮	殓
鍊	炼 链 𫔀
鏈	链
瀲	潋
鰊	𬶠
戀	恋
梁	梁
涼	凉
綡	𫟅
樑	梁
輬	辌
糧	粮
兩	两
啢	唡
掚	𪭵
魎	魉
諒	谅
輛	辆
鍄	𨱉
遼	辽
療	疗
繚	缭
鐐	镣
鷯	鹩
釕	钌
瞭	了
鮤	𫚓
鴷	䴕
獵	猎
鱲	𫚭
鄰	邻
臨	临
轔	辚
壣	𪤚
鏻	𬭸
驎	𬴊
鱗	鳞
凜	凛
廩	廪
懍	懔
檁	檩
賃	赁
閵	𫔴
藺	蔺
躪	躏
凌	凌
淩	凌
軨	𫐉
鈴	铃
閝	𫠂
綾	绫
錂	𨱋
鴒	鸰
鯪	鲮
齡	龄
靈	灵
欞	棂
爧	𫞠
領	领
嶺	岭
劉	刘
瀏	浏
鎦	镏
鏐	镠
飀	飗
騮	骝
鶹	鹠
綹	绺
鋶	锍
餾	馏
鷚	鹨
龍	龙
嚨	咙
瀧	泷
蘢	茏
曨	昽
朧	胧
櫳	栊
爖	𤇭
瓏	珑
矓	眬
礱	砻
籠	笼
聾	聋
躘	𨀁
鸗	𫛟
篢	𬕂
隴	陇
壟	垄
壠	垅
攏	拢
龓	𫜲
徿	𪫌
贚	𫎦
瞜	䁖
婁	娄
僂	偻
嘍	喽
慺	㥪
漊	溇
蔞	蒌
遱	𫐷
樓	楼
熡	𤋏
耬	耧
螻	蝼
謱	𫍴
髏	髅
塿	𪣻
嶁	嵝
摟	搂
簍	篓
瘻	瘘
鏤	镂
盧	卢
嚧	𠰷
壚	垆
廬	庐 𪪏
瀘	泸
蘆	芦
曥	𣆐
櫨	栌
爐	炉
臚	胪
矑	𪾦
艫	舻
蠦	𫊮
轤	轳
鑪	𬬻
顱	颅
鱸	鲈
鸕	鸬
鹵	卤
虜	虏
滷	卤
魯	鲁
擄	掳
磠	硵
嚕	噜
擼	撸
瀂	澛
櫓	橹
氌	氇
艣	𫇛
鐪	𫓺
鑥	镥
彔	录
陸	陆
淥	渌
祿	禄
賂	赂
輅	辂
錄	录
轆	辘
騄	𫘧
騼	𫠋
籙	箓
鷺	鹭
閭	闾
膢	𦝼
櫚	榈
驢	驴
呂	吕
侶	侣
屢	屡
鋁	铝
褸	褛
縷	缕
穭	稆 穞
綠	绿
慮	虑
繂	𫄴
濾	滤
孌	娈
孿	孪
巒	峦
攣	挛
欒	栾
臠	脔
圞	𪢮
灤	滦
鑾	銮
鸞	鸾
亂	乱
鋝	锊
擽	㧰
掄	抡
侖	仑
倫	伦
圇	囵
崙	仑 𪨧
淪	沦
菕	𰰨
綸	纶
輪	轮
錀	𬬭
埨	𫭢
論	论
囉	啰
腡	脶
羅	罗
鏍	镙
儸	㑩
覼	𫌨
騾	骡
玀	猡
蘿	萝
邏	逻
欏	椤
籮	箩
鑼	锣
饠	𫗩
絡	络
犖	荦
駱	骆
濼	泺
媽	妈
嬤	嬷
馬	马
瑪	玛
碼	码
螞	蚂
鎷	𨰾
傌	㐷
獁	犸
嘜	唛
榪	杩
禡	祃
罵	骂
嗎	吗
買	买 𧹒
嘪	𪡃
蕒	荬
脈	脉
麥	麦
勱	劢
賣	卖
邁	迈
霢	霡
樠	𣗊
瞞	瞒
謾	谩
饅	馒
顢	颟
鰻	鳗
蠻	蛮
