赔	賠
锫	鉳 錇
辔	轡
喷	噴
鹏	鵬
纰	紕
𬳵	駓
铍	鈹
鲏	鮍
罴	羆
辟	闢
䴙	鸊
骈	駢
谝	諞
骗	騙
缥	縹
飘	飄
𬭯	䥕
贫	貧
嫔	嬪
频	頻
𬞟	蘋
颦	顰
评	評
凭	憑
苹	蘋
鲆	鮃
钋	釙
泼	潑
颇	頗
酦	醱
䥽	鏺
钷	鉕
仆	僕
扑	撲
镤	鏷
朴	樸
谱	譜
镨	鐠
铺	鋪
凄	悽 淒
栖	棲
桤	榿
戚	慼
齐	齊
祇	祇
𬨂	軝
脐	臍
颀	頎
埼	碕
骐	騏
骑	騎
棋	棊
蛴	蠐
锜	錡
旗	旂
蕲	蘄
鲯	鯕
鳍	鰭
岂	豈
启	啓 啟
绮	綺
气	氣
讫	訖
弃	棄
碛	磧
千	韆
迁	遷
佥	僉
钎	釺
牵	牽
悭	慳
铅	鉛
谦	謙
签	簽 籤
骞	騫
鹐	鵮
钤	鈐
钱	錢
钳	鉗
乾	乾
潜	潛
浅	淺
谴	譴
缱	繾
伣	俔
堑	塹
𬘬	綪
椠	槧
呛	嗆
戗	戧
枪	槍
玱	瑲
锖	錆
锵	鏘
镪	鏹
强	強
墙	墻 牆
嫱	嬙
蔷	薔
樯	檣
抢	搶
羟	羥
炝	熗
跄	蹌
硗	磽
跷	蹺
锹	鍬
缲	繰
乔	喬
侨	僑
荞	蕎
桥	橋
硚	礄
谯	譙
鞒	鞽
诮	誚
窍	竅
翘	翹
窃	竊
惬	愜
箧	篋
锲	鍥
亲	親
钦	欽
骎	駸
嵚	嶔
锓	鋟
寝	寢
揿	撳
氢	氫
轻	輕
倾	傾
鲭	鯖
顷	頃
请	請
庼	廎
庆	慶
穷	窮
茕	煢
䓖	藭
琼	瓊
秋	鞦
鹙	鶖
鳅	鰍
虬	虯
赇	賕
巯	巰
𨱇	銶
区	區
曲	麯 麴
岖	嶇
诎	詘
驱	驅
躯	軀
趋	趨
麹	麴
鸲	鴝
龋	齲
阒	闃
觑	覷
权	權
诠	詮
辁	輇
铨	銓
鳈	鰁
颧	顴
绻	綣
劝	勸
阙	闕
却	卻
𬒈	礐
悫	愨 慤
确	確
阕	闋
鹊	鵲
群	羣
让	讓
娆	嬈
荛	蕘
饶	饒
桡	橈
扰	擾
绕	繞
热	熱
认	認
讱	訒
纫	紉
纴	紝
轫	軔
韧	韌
饪	飪
驲	馹
绒	絨
荣	榮
嵘	嶸
蝾	蠑
镕	鎔
𫐓	輮
铷	銣
颥	顬
缛	縟
软	軟
锐	銳 鋭
闰	閏
润	潤
挲	挱
洒	灑
钑	鈒
飒	颯
萨	薩
鳃	鰓
赛	賽
叁	叄
毵	毿
毶	𣯶
伞	傘
糁	糝
馓	饊
颡	顙
丧	喪
骚	騷
缫	繅
鳋	鰠
扫	掃
涩	澀
啬	嗇
铯	銫
穑	穡
椮	槮
杀	殺
纱	紗
刹	剎
铩	鎩
榝	樧
鲨	鯊
厦	廈
筛	篩
晒	曬
删	刪
姗	姍
钐	釤
膻	羶
闪	閃
陕	陝
讪	訕
𫮃	墠
椫	樿
骟	騸
缮	繕
赡	贍
鳝	鱔
伤	傷
殇	殤
觞	觴
赏	賞
绱	緔 鞝
烧	燒
绍	紹
𪨶	輋
赊	賒
舍	捨
厍	厙
设	設
慑	懾
摄	攝
滠	灄
谁	誰
绅	紳
诜	詵
𬳽	駪
鲹	鰺
𬬹	鉮
沈	瀋
审	審
谂	諗
谉	讅
婶	嬸
渖	瀋
肾	腎
渗	滲
瘆	瘮
升	昇 陞
声	聲
绳	繩
圣	聖
胜	勝
尸	屍
师	師
虱	蝨
诗	詩
鸤	鳲
浉	溮
狮	獅
湿	溼 濕
酾	釃
𫚕	鰤
䴓	鳾
鲺	鯴
饣	飠
时	時
识	識
实	實
蚀	蝕
埘	塒
莳	蒔
鲥	鰣
驶	駛
势	勢
视	視
试	試
饰	飾
贳	貰
适	適
轼	軾
铈	鈰
𬤊	諟
弑	弒
谥	諡 謚
释	釋
寿	壽
兽	獸
绶	綬
书	書
纾	紓
枢	樞
摅	攄
输	輸
赎	贖
属	屬
术	朮 術
树	樹
竖	竪 豎
𬬸	鉥
数	數
帅	帥
闩	閂
双	雙
骦	驦
鹴	鸘
涚	涗
税	稅
顺	順
说	說 説
烁	爍
铄	鑠
硕	碩
纟	糹
丝	絲
私	俬
咝	噝
鸶	鷥
缌	緦
蛳	螄
飔	颸
厮	廝
锶	鍶
饲	飼
驷	駟
松	鬆
㧐	㩳
怂	慫
耸	聳
讼	訟
诵	誦
颂	頌
搜	蒐
馊	餿
飕	颼
锼	鎪
擞	擻
薮	藪
苏	囌 甦 蘇
稣	穌
诉	訴
肃	肅
𫗧	餗
骕	驌
谡	謖
溯	泝 遡
鹔	鷫
酸	痠
虽	雖
绥	綏
随	隨
岁	嵗 歲 𡻕
谇	誶
𫟦	䡵
𬭼	鐩
孙	孫
狲	猻
荪	蓀
飧	飱
损	損
笋	筍
蓑	簑
缩	縮
唢	嗩
琐	瑣
锁	鎖
铊	鉈
鿎	䃮
獭	獺
鳎	鰨
挞	撻
